Date,Open,High,Low,Close,Adj Close,Volume
2023-07-20,4921.399902,4921.399902,4765.649902,4819.450195,4767.916504,300822
2023-07-21,4820.950195,4916.250000,4610.049805,4640.299805,4590.681152,1130735
2023-07-24,4668.000000,4748.000000,4642.600098,4725.700195,4675.168457,338000
2023-07-25,4739.000000,4745.549805,4678.149902,4687.750000,4637.624023,175138
2023-07-26,4699.000000,4770.000000,4690.049805,4716.149902,4665.720703,160886
2023-07-27,4728.000000,4753.000000,4662.799805,4692.700195,4642.521484,159595
2023-07-28,4699.950195,4716.299805,4630.049805,4672.299805,4622.338867,114340
2023-07-31,4690.000000,4729.500000,4675.600098,4703.700195,4653.403809,164337
2023-08-01,4727.000000,4851.000000,4691.549805,4845.450195,4793.638184,352854
2023-08-02,4845.000000,4858.799805,4700.049805,4757.100098,4706.232910,146505
2023-08-03,4745.000000,4793.899902,4710.000000,4765.250000,4733.200195,260642
2023-08-04,4800.000000,4893.700195,4788.649902,4888.149902,4855.273438,246235
2023-08-07,4914.000000,4958.000000,4885.250000,4942.649902,4909.406738,183698
2023-08-08,4966.950195,5018.950195,4930.600098,4980.899902,4947.399902,233808
2023-08-09,4989.950195,5090.000000,4958.899902,5067.950195,5033.864258,343864
2023-08-10,5067.950195,5225.000000,5042.450195,5146.899902,5112.283203,625096
2023-08-11,5173.000000,5285.000000,5164.000000,5267.899902,5232.469238,604763
2023-08-14,5267.899902,5348.000000,5221.049805,5277.049805,5241.557617,520002
2023-08-16,5202.000000,5419.899902,5041.200195,5075.950195,5041.810547,698393
2023-08-17,5093.100098,5126.950195,4967.000000,5005.200195,4971.536133,713344
2023-08-18,5000.000000,5028.649902,4896.049805,4920.149902,4887.058105,453257
2023-08-21,4946.950195,5020.500000,4918.600098,4996.500000,4962.894531,237711
2023-08-22,5040.000000,5043.299805,4952.000000,4961.000000,4927.633301,171782
2023-08-23,4980.000000,4999.000000,4856.649902,4913.100098,4880.055664,438563
2023-08-24,4750.000000,5402.000000,4703.000000,5390.850098,5354.592773,22136491
2023-08-25,5269.799805,5393.950195,5164.000000,5256.200195,5220.848145,1834899
2023-08-28,5256.200195,5304.149902,5160.000000,5171.899902,5137.115234,516099
2023-08-29,5199.000000,5273.350098,5088.149902,5225.600098,5190.454102,1018566
2023-08-30,5248.950195,5354.600098,5203.100098,5298.250000,5262.615234,707396
2023-08-31,5320.000000,5490.000000,5298.250000,5466.450195,5429.684082,1193926
2023-09-01,5454.950195,5506.399902,5427.350098,5451.899902,5415.231445,364138
2023-09-04,5461.000000,5504.000000,5411.100098,5489.000000,5452.082031,557111
2023-09-05,5499.000000,5635.000000,5481.450195,5611.500000,5573.758789,625240
2023-09-06,5634.000000,5762.700195,5576.149902,5625.600098,5587.763672,1124517
2023-09-07,5600.000000,5649.000000,5524.649902,5610.350098,5572.616699,394065
2023-09-08,5625.000000,5625.000000,5529.549805,5550.600098,5513.268066,280869
2023-09-11,5588.000000,5588.399902,5492.299805,5515.700195,5478.603027,314269
2023-09-12,5569.000000,5589.500000,5424.500000,5459.500000,5422.780762,245635
2023-09-13,5449.000000,5479.950195,5368.200195,5437.149902,5400.580566,293470
2023-09-14,5479.000000,5539.950195,5445.000000,5456.649902,5419.949707,202149
2023-09-15,5511.200195,5630.000000,5494.850098,5618.899902,5581.108887,462273
2023-09-18,5593.000000,5626.450195,5528.750000,5544.899902,5507.606445,281031
2023-09-20,5530.000000,5544.000000,5402.000000,5418.000000,5381.559570,266063
2023-09-21,5395.500000,5406.950195,5290.000000,5336.299805,5300.409180,377880
2023-09-22,5336.000000,5370.399902,5251.350098,5293.450195,5257.847656,296925
2023-09-25,5320.000000,5339.950195,5260.100098,5285.899902,5250.348145,190214
2023-09-26,5260.000000,5260.149902,5170.299805,5193.200195,5158.271973,295546
2023-09-27,5205.950195,5265.700195,5189.049805,5204.950195,5169.943359,428881
2023-09-28,5236.950195,5251.649902,5077.549805,5123.299805,5088.841797,448004
2023-09-29,5144.899902,5165.000000,5050.000000,5104.450195,5070.118652,567361
2023-10-03,5085.000000,5192.200195,5036.649902,5106.600098,5072.254395,579787
2023-10-04,5119.000000,5149.000000,5025.000000,5135.750000,5101.208496,333736
2023-10-05,5155.000000,5243.700195,5151.000000,5205.700195,5170.687988,312135
2023-10-06,5240.899902,5242.950195,5166.250000,5185.549805,5150.672852,195339
2023-10-09,5161.000000,5216.899902,5118.899902,5138.750000,5104.187988,179747
2023-10-10,5180.000000,5228.000000,5125.850098,5196.250000,5161.301270,269859
2023-10-11,5239.899902,5282.899902,5111.000000,5154.649902,5119.980957,557514
2023-10-12,5171.899902,5189.000000,5068.000000,5096.899902,5062.619141,619118
2023-10-13,5058.000000,5138.950195,4997.750000,5006.649902,4972.976563,437090
2023-10-16,5010.000000,5088.799805,5001.350098,5040.149902,5006.251465,341417
2023-10-17,5077.899902,5094.000000,5022.350098,5061.700195,5027.656250,215994
2023-10-18,5075.950195,5150.000000,5025.000000,5092.100098,5057.852051,626397
2023-10-19,5050.299805,5280.000000,5050.299805,5108.799805,5074.439453,1046540
2023-10-20,5123.000000,5167.750000,4980.000000,5000.100098,4966.470703,473723
2023-10-23,5000.100098,5019.899902,4900.000000,4915.399902,4882.339844,538344
2023-10-25,4949.000000,4977.000000,4863.049805,4899.049805,4866.100098,338564
2023-10-26,4880.000000,4956.850098,4756.549805,4904.399902,4871.414063,878546
2023-10-27,4926.000000,5030.000000,4925.549805,5008.950195,4975.261230,540268
2023-10-30,4998.799805,5026.000000,4948.049805,4988.649902,4955.097656,266860
2023-10-31,5029.950195,5029.950195,4952.700195,4984.250000,4950.727051,224233
2023-11-01,4998.000000,5072.649902,4965.200195,5026.600098,4992.792480,331862
2023-11-02,5076.899902,5080.000000,5022.100098,5056.399902,5041.447754,191341
2023-11-03,5086.000000,5148.000000,5062.299805,5083.100098,5068.069336,155733
2023-11-06,5130.899902,5153.000000,5088.200195,5115.299805,5100.173828,263008
2023-11-07,5124.899902,5124.899902,5065.649902,5087.600098,5072.555664,64545
2023-11-08,5126.950195,5139.350098,5073.899902,5111.700195,5096.584473,93686
2023-11-09,5111.000000,5164.000000,5105.000000,5128.100098,5112.936035,117160
2023-11-10,5100.000000,5149.000000,5074.000000,5139.000000,5123.803711,156660
2023-11-13,5128.799805,5128.799805,5031.500000,5085.200195,5070.163086,266893
2023-11-15,5145.700195,5354.549805,5125.200195,5343.250000,5327.449707,467034
2023-11-16,5329.250000,5738.950195,5307.600098,5701.100098,5684.241699,1104408
2023-11-17,5685.000000,5749.850098,5605.000000,5674.950195,5658.168945,487295
2023-11-20,5670.049805,5846.250000,5651.200195,5708.450195,5691.569824,482383
2023-11-21,5730.000000,5789.600098,5612.399902,5625.399902,5608.765137,236253
2023-11-22,5648.899902,5665.100098,5583.000000,5634.450195,5617.789063,196944
2023-11-23,5640.399902,5669.899902,5590.600098,5619.649902,5603.032227,191077
2023-11-24,5637.649902,5653.200195,5550.000000,5618.549805,5601.935547,144526
2023-11-28,5624.600098,5640.000000,5492.450195,5566.299805,5549.839844,238937
2023-11-29,5576.750000,5714.850098,5576.750000,5694.750000,5677.910156,552016
2023-11-30,5699.000000,5770.000000,5675.000000,5760.850098,5743.814941,351758
2023-12-01,5810.000000,5810.850098,5695.000000,5714.000000,5697.103516,177578
2023-12-04,5795.000000,5795.000000,5655.049805,5675.950195,5659.166016,184861
2023-12-05,5656.500000,5674.450195,5506.000000,5605.850098,5589.273438,322669
2023-12-06,5606.000000,5755.399902,5606.000000,5701.750000,5684.889648,460212
2023-12-07,5702.700195,5755.000000,5650.200195,5700.649902,5683.792969,203360
2023-12-08,5719.000000,5919.950195,5690.049805,5783.000000,5765.899414,826910
2023-12-11,5808.000000,5908.000000,5798.649902,5864.750000,5847.407715,484446
2023-12-12,5875.000000,5958.799805,5840.049805,5856.649902,5839.331543,360216
2023-12-13,5859.950195,5874.799805,5692.549805,5830.450195,5813.209473,405773
2023-12-14,5890.000000,6205.850098,5888.049805,6156.700195,6138.494629,1243260
2023-12-15,6196.700195,6530.000000,6175.049805,6439.850098,6420.807129,1260254
2023-12-18,6430.000000,6478.100098,6331.049805,6441.100098,6422.053711,603544
2023-12-19,6439.950195,6440.000000,6261.000000,6273.399902,6254.849121,327439
2023-12-20,6310.000000,6357.399902,6014.899902,6039.049805,6021.191895,485530
2023-12-21,5959.950195,6175.000000,5922.049805,6127.899902,6109.779297,366697
2023-12-22,6130.049805,6323.649902,6110.049805,6290.200195,6271.599609,477031
2023-12-26,6300.000000,6342.700195,6245.000000,6276.049805,6257.491211,256576
2023-12-27,6317.000000,6394.950195,6280.899902,6299.399902,6280.772461,348740
2023-12-28,6325.000000,6325.000000,6240.049805,6272.350098,6253.802246,320910
2023-12-29,6278.000000,6320.000000,6213.000000,6274.399902,6255.846191,220563
2024-01-01,6289.950195,6289.950195,6181.000000,6192.549805,6174.238281,183642
2024-01-02,6210.000000,6217.399902,6001.000000,6038.299805,6020.444336,315763
2024-01-03,6049.399902,6050.000000,5841.549805,5928.200195,5910.670410,400286
2024-01-04,5945.000000,6037.000000,5911.600098,5954.049805,5936.443359,210040
2024-01-05,5954.100098,6148.850098,5954.100098,6076.350098,6058.381836,498803
2024-01-08,6134.950195,6135.000000,6009.000000,6060.500000,6042.578613,331217
2024-01-09,6190.000000,6274.600098,6052.799805,6067.850098,6049.907227,423485
2024-01-10,6087.700195,6173.450195,6039.049805,6152.250000,6134.057617,208245
2024-01-11,6260.000000,6340.000000,6223.450195,6238.100098,6219.653809,431230
2024-01-12,6350.000000,6615.000000,6338.000000,6592.700195,6573.205078,1252771
2024-01-15,6699.899902,6789.000000,6582.700195,6614.049805,6594.491699,731362
2024-01-16,6660.000000,6660.000000,6511.950195,6597.000000,6577.492188,263369
2024-01-17,6495.100098,6662.000000,6482.000000,6626.950195,6607.354004,299390
2024-01-18,6595.450195,6602.450195,6263.049805,6486.600098,6467.418945,541380
2024-01-19,6529.899902,6548.899902,6372.000000,6415.350098,6396.379395,400947
2024-01-23,6398.000000,6417.399902,6167.200195,6201.600098,6183.261719,689002
2024-01-24,6223.000000,6422.899902,6161.000000,6369.200195,6350.366211,345532
2024-01-25,6440.000000,6440.000000,6185.049805,6205.049805,6186.701172,392096
2024-01-29,6222.200195,6324.000000,6200.250000,6254.750000,6236.254395,423776
2024-01-30,6300.000000,6423.200195,6229.500000,6244.799805,6226.333496,546835
2024-01-31,6253.950195,6330.000000,6238.049805,6250.100098,6231.618164,337292
2024-02-01,6250.100098,6282.049805,6102.649902,6169.750000,6151.505859,290416
2024-02-02,6245.000000,6469.000000,6227.649902,6425.350098,6406.350098,518712
2024-02-05,6479.950195,6479.950195,6350.000000,6366.299805,6366.299805,430785
2024-02-06,6421.000000,6571.000000,6373.000000,6560.799805,6560.799805,434992
