Date,Open,High,Low,Close,Adj Close,Volume
2019-04-22,1318.000000,1323.000000,1306.800049,1319.099976,1240.621704,356884
2019-04-23,1315.099976,1318.000000,1300.550049,1303.650024,1226.090820,203428
2019-04-24,1301.050049,1314.750000,1298.800049,1309.650024,1231.733887,152965
2019-04-25,1313.000000,1313.000000,1296.550049,1301.349976,1223.927612,230304
2019-04-26,1302.000000,1321.000000,1296.000000,1314.000000,1235.825317,266749
2019-04-30,1315.000000,1316.000000,1287.000000,1293.500000,1216.544922,385038
2019-05-02,1293.099976,1297.000000,1272.250000,1282.599976,1206.293213,352665
2019-05-03,1280.000000,1280.000000,1248.400024,1267.550049,1192.138550,541318
2019-05-06,1250.000000,1277.449951,1249.000000,1259.550049,1184.614624,1032944
2019-05-07,1260.000000,1267.900024,1253.449951,1255.849976,1181.134644,289350
2019-05-08,1245.000000,1257.050049,1230.099976,1237.099976,1163.499878,770379
2019-05-09,1230.250000,1239.099976,1228.000000,1230.599976,1157.386719,436832
2019-05-10,1229.000000,1252.000000,1228.000000,1244.699951,1170.647827,659291
2019-05-13,1242.599976,1261.050049,1239.500000,1248.949951,1174.644897,484692
2019-05-14,1240.550049,1261.699951,1240.550049,1255.449951,1180.758423,274716
2019-05-15,1257.000000,1267.599976,1251.199951,1260.000000,1185.037720,397955
2019-05-16,1260.000000,1275.400024,1250.000000,1268.800049,1193.314331,363892
2019-05-17,1266.300049,1278.400024,1260.000000,1262.650024,1187.530151,192411
2019-05-20,1283.000000,1283.000000,1262.750000,1268.599976,1193.125977,159140
2019-05-21,1268.000000,1302.000000,1262.599976,1292.349976,1215.463013,677452
2019-05-22,1290.000000,1295.500000,1271.400024,1284.000000,1207.609985,348272
2019-05-23,1282.050049,1296.650024,1276.650024,1281.750000,1205.493774,250947
2019-05-24,1282.000000,1283.000000,1263.849976,1268.099976,1192.655762,542944
2019-05-27,1267.500000,1282.099976,1262.599976,1276.500000,1200.555908,312272
2019-05-28,1277.099976,1281.400024,1266.000000,1267.500000,1192.091431,656555
2019-05-29,1265.000000,1292.349976,1265.000000,1285.050049,1208.597534,1029439
2019-05-30,1290.949951,1315.000000,1285.000000,1308.199951,1230.370361,893273
2019-05-31,1316.900024,1316.900024,1301.250000,1306.699951,1228.959473,380453
2019-06-03,1311.550049,1316.150024,1302.300049,1311.550049,1233.520752,195008
2019-06-04,1308.000000,1314.949951,1300.500000,1305.699951,1228.019043,241167
2019-06-06,1304.750000,1321.500000,1296.349976,1312.099976,1234.038208,489536
2019-06-07,1310.199951,1332.500000,1310.199951,1322.400024,1243.725220,439082
2019-06-10,1323.949951,1348.949951,1323.000000,1336.650024,1257.127563,793989
2019-06-11,1348.000000,1350.949951,1334.449951,1340.650024,1260.889526,296894
2019-06-12,1335.000000,1353.150024,1335.000000,1340.400024,1260.654175,322799
2019-06-13,1341.000000,1342.650024,1330.099976,1340.099976,1260.372314,181685
2019-06-14,1335.000000,1341.949951,1317.099976,1320.000000,1241.468140,491274
2019-06-17,1317.250000,1326.949951,1316.000000,1318.250000,1239.821899,81116
2019-06-18,1314.050049,1328.199951,1314.050049,1322.699951,1244.007324,103174
2019-06-19,1320.099976,1327.750000,1299.500000,1303.250000,1225.714600,569699
2019-06-20,1296.199951,1314.000000,1293.849976,1310.199951,1232.250977,178193
2019-06-21,1308.900024,1314.349976,1302.000000,1307.900024,1230.088013,480719
2019-06-24,1306.800049,1325.050049,1305.349976,1319.800049,1241.280151,311406
2019-06-25,1320.250000,1342.400024,1313.000000,1340.699951,1260.936523,551286
2019-06-26,1344.000000,1344.000000,1321.000000,1332.250000,1252.989136,339597
2019-06-27,1324.099976,1342.000000,1320.199951,1335.849976,1256.375122,303104
2019-06-28,1341.900024,1349.900024,1332.699951,1345.099976,1265.074707,714198
2019-07-01,1345.000000,1355.000000,1335.000000,1350.699951,1270.341553,257346
2019-07-02,1350.699951,1354.900024,1332.349976,1345.849976,1265.780151,233615
2019-07-03,1345.000000,1345.000000,1332.199951,1333.650024,1254.306030,167033
2019-07-04,1327.000000,1348.800049,1323.550049,1338.150024,1258.538330,316523
2019-07-05,1338.150024,1339.000000,1318.050049,1323.500000,1244.759644,143633
2019-07-08,1317.000000,1318.000000,1303.750000,1311.050049,1233.050659,442275
2019-07-09,1327.949951,1337.900024,1284.949951,1314.750000,1236.530518,1517586
2019-07-10,1305.099976,1316.699951,1299.000000,1308.750000,1230.887451,882310
2019-07-11,1313.000000,1326.900024,1287.199951,1317.250000,1238.881836,1089612
2019-07-12,1337.000000,1351.800049,1331.050049,1347.449951,1267.284790,1319171
2019-07-15,1354.000000,1354.000000,1342.250000,1345.800049,1265.733276,379597
2019-07-16,1347.349976,1349.300049,1342.300049,1345.199951,1265.168945,249404
2019-07-17,1342.500000,1349.300049,1342.500000,1345.900024,1265.827393,472862
2019-07-18,1343.599976,1350.500000,1337.699951,1342.449951,1262.582397,433600
2019-07-19,1341.000000,1350.900024,1341.000000,1346.750000,1266.626587,546932
2019-07-22,1345.500000,1346.599976,1340.650024,1343.449951,1263.522827,403559
2019-07-23,1343.300049,1358.000000,1341.000000,1353.349976,1272.833984,792032
2019-07-24,1329.800049,1354.650024,1326.099976,1341.800049,1261.971313,932278
2019-07-25,1311.000000,1346.000000,1281.599976,1333.699951,1254.353149,736125
2019-07-26,1316.199951,1321.949951,1230.000000,1273.849976,1198.063843,1144563
2019-07-29,1273.849976,1280.250000,1193.150024,1206.199951,1134.438477,677643
2019-07-30,1200.000000,1231.650024,1192.349976,1202.550049,1131.005615,798966
2019-07-31,1195.150024,1221.750000,1178.099976,1203.550049,1131.946045,440609
2019-08-01,1199.000000,1210.550049,1185.500000,1202.699951,1131.146973,389327
2019-08-02,1196.199951,1204.400024,1178.550049,1198.699951,1127.384766,304222
2019-08-05,1191.199951,1213.400024,1191.199951,1205.349976,1133.638916,229561
2019-08-06,1192.500000,1230.000000,1192.500000,1220.750000,1148.122559,147611
2019-08-07,1224.000000,1250.000000,1214.800049,1238.699951,1165.005005,185957
2019-08-08,1234.000000,1298.000000,1218.050049,1276.449951,1200.508789,365334
2019-08-09,1280.000000,1309.800049,1257.550049,1300.099976,1222.751953,453152
2019-08-13,1312.000000,1324.900024,1280.199951,1312.949951,1234.837280,397956
2019-08-14,1314.000000,1342.000000,1293.300049,1316.849976,1238.505737,354090
2019-08-16,1295.000000,1316.000000,1260.750000,1289.300049,1212.594360,284592
2019-08-19,1286.000000,1329.900024,1271.000000,1325.349976,1246.499756,248666
2019-08-20,1325.000000,1398.099976,1316.349976,1375.050049,1293.243042,625207
2019-08-21,1370.000000,1383.500000,1356.250000,1365.449951,1284.214355,324167
2019-08-22,1367.900024,1374.949951,1351.750000,1360.699951,1279.746460,176916
2019-08-23,1361.750000,1387.650024,1352.000000,1376.449951,1294.559570,326476
2019-08-26,1394.000000,1405.000000,1372.500000,1396.900024,1313.793213,188165
2019-08-27,1396.750000,1460.000000,1391.800049,1441.699951,1355.927612,336804
2019-08-28,1440.000000,1545.000000,1434.500000,1523.400024,1432.767456,978369
2019-08-29,1525.000000,1530.000000,1471.400024,1519.199951,1428.816650,1004644
2019-08-30,1455.000000,1511.849976,1444.949951,1495.550049,1406.573975,852009
2019-09-03,1479.000000,1511.949951,1458.400024,1467.000000,1379.722290,428827
2019-09-04,1476.000000,1488.500000,1452.949951,1462.349976,1375.349121,221393
2019-09-05,1463.000000,1468.699951,1435.099976,1459.949951,1373.091919,277952
2019-09-06,1474.400024,1474.400024,1437.800049,1448.449951,1362.276123,290536
2019-09-09,1447.000000,1456.949951,1436.000000,1445.250000,1359.266479,281846
2019-09-11,1446.000000,1455.349976,1412.699951,1419.199951,1334.766235,272101
2019-09-12,1419.099976,1432.000000,1405.099976,1410.449951,1326.536743,323702
2019-09-13,1410.599976,1426.900024,1400.150024,1411.199951,1327.242065,169231
2019-09-16,1412.500000,1414.000000,1378.449951,1382.000000,1299.779541,297432
2019-09-17,1372.099976,1392.050049,1367.449951,1371.000000,1289.433960,199176
2019-09-18,1365.099976,1391.400024,1342.800049,1362.150024,1281.110596,657165
2019-09-19,1350.400024,1388.500000,1347.500000,1369.449951,1287.976074,317680
2019-09-20,1363.000000,1413.199951,1352.849976,1401.750000,1318.354370,505984
2019-09-23,1407.349976,1429.599976,1369.199951,1410.250000,1326.348999,344059
2019-09-24,1424.000000,1453.099976,1401.000000,1429.000000,1343.983398,572805
2019-09-25,1437.000000,1437.000000,1398.000000,1406.199951,1322.539795,162380
2019-09-26,1400.000000,1414.000000,1382.300049,1389.400024,1306.739136,322106
2019-09-27,1355.000000,1408.300049,1355.000000,1394.050049,1311.112427,313134
2019-09-30,1394.050049,1416.000000,1387.050049,1394.900024,1311.912109,295143
2019-10-01,1415.000000,1415.000000,1338.050049,1349.650024,1269.354126,314752
2019-10-03,1358.099976,1380.000000,1343.050049,1368.000000,1286.612305,268527
2019-10-04,1368.000000,1387.000000,1346.349976,1380.000000,1297.898438,330709
2019-10-07,1383.449951,1393.000000,1357.199951,1384.599976,1302.224854,184904
2019-10-09,1381.000000,1389.099976,1360.150024,1373.349976,1291.644043,177260
2019-10-10,1357.500000,1381.750000,1351.000000,1361.099976,1280.122803,152606
2019-10-11,1355.000000,1417.599976,1350.800049,1412.099976,1328.088623,397760
2019-10-14,1410.000000,1415.000000,1390.000000,1396.500000,1313.416870,203559
2019-10-15,1394.000000,1438.750000,1392.000000,1424.699951,1339.938843,403985
2019-10-16,1433.000000,1434.949951,1401.550049,1409.500000,1325.643311,300018
2019-10-17,1413.000000,1419.800049,1395.699951,1406.699951,1323.009888,114889
2019-10-18,1415.500000,1450.000000,1397.699951,1436.550049,1351.084106,277477
2019-10-22,1436.550049,1469.900024,1416.000000,1452.199951,1365.802856,299087
2019-10-23,1451.000000,1476.449951,1427.500000,1468.650024,1381.274170,452349
2019-10-24,1490.000000,1529.199951,1425.650024,1491.599976,1402.859009,1055221
2019-10-25,1485.000000,1519.500000,1467.500000,1505.150024,1415.602661,382090
2019-10-27,1500.349976,1528.849976,1492.300049,1506.099976,1416.496338,29696
2019-10-29,1490.000000,1526.849976,1490.000000,1517.349976,1427.076904,268871
2019-10-30,1518.000000,1586.949951,1515.800049,1578.150024,1484.259644,537234
2019-10-31,1587.000000,1590.900024,1543.449951,1548.699951,1456.561890,717384
2019-11-01,1553.000000,1561.150024,1525.849976,1558.750000,1466.013916,367674
2019-11-04,1553.400024,1595.500000,1538.199951,1586.750000,1501.983887,336654
2019-11-05,1585.099976,1586.699951,1556.449951,1559.349976,1476.047607,109969
2019-11-06,1559.349976,1576.500000,1547.449951,1566.400024,1482.721191,91192
2019-11-07,1566.349976,1579.449951,1560.000000,1574.000000,1489.915039,101781
2019-11-08,1570.000000,1588.000000,1534.949951,1540.400024,1458.109985,123434
2019-11-11,1530.000000,1594.750000,1530.000000,1572.650024,1488.637451,231176
2019-11-13,1573.000000,1578.199951,1479.050049,1483.199951,1403.965576,349897
2019-11-14,1487.000000,1509.800049,1465.800049,1504.699951,1424.317017,296070
2019-11-15,1510.000000,1520.000000,1473.800049,1491.099976,1411.443848,161514
2019-11-18,1480.000000,1527.500000,1477.500000,1519.099976,1437.947754,198031
2019-11-19,1519.500000,1535.949951,1509.750000,1529.000000,1447.318726,116406
2019-11-20,1529.150024,1554.300049,1498.050049,1508.800049,1428.197876,279059
2019-11-21,1518.000000,1525.000000,1490.000000,1498.699951,1418.637573,82586
2019-11-22,1505.000000,1509.900024,1473.500000,1484.150024,1404.864990,137374
2019-11-25,1486.699951,1507.150024,1475.800049,1500.050049,1419.915405,103697
2019-11-26,1504.400024,1504.400024,1452.400024,1484.900024,1405.574951,380327
2019-11-27,1484.000000,1506.900024,1480.900024,1493.900024,1414.093994,77325
2019-11-28,1490.000000,1512.400024,1484.550049,1504.900024,1424.506348,166495
2019-11-29,1504.900024,1516.500000,1482.050049,1490.949951,1411.301636,66093
2019-12-02,1480.949951,1495.000000,1454.300049,1462.099976,1383.992798,124662
2019-12-03,1455.099976,1470.449951,1440.800049,1446.400024,1369.131836,109134
2019-12-04,1443.849976,1472.449951,1439.000000,1467.449951,1389.056763,144873
2019-12-05,1464.000000,1515.650024,1463.000000,1485.199951,1405.858765,367759
2019-12-06,1488.000000,1494.949951,1459.000000,1464.150024,1385.933472,76842
2019-12-09,1464.699951,1482.000000,1451.000000,1475.949951,1397.102905,106498
2019-12-10,1471.349976,1475.349976,1418.650024,1437.750000,1360.943481,245334
