Date,Open,High,Low,Close,Adj Close,Volume
2019-04-22,1318.000000,1323.000000,1306.800049,1319.099976,1240.621460,356884
2019-04-23,1315.099976,1318.000000,1300.550049,1303.650024,1226.091187,203428
2019-04-24,1301.050049,1314.750000,1298.800049,1309.650024,1231.734009,152965
2019-04-25,1313.000000,1313.000000,1296.550049,1301.349976,1223.927612,230304
2019-04-26,1302.000000,1321.000000,1296.000000,1314.000000,1235.825195,266749
2019-04-30,1315.000000,1316.000000,1287.000000,1293.500000,1216.544800,385038
2019-05-02,1293.099976,1297.000000,1272.250000,1282.599976,1206.292969,352665
2019-05-03,1280.000000,1280.000000,1248.400024,1267.550049,1192.138916,541318
2019-05-06,1250.000000,1277.449951,1249.000000,1259.550049,1184.614380,1032944
2019-05-07,1260.000000,1267.900024,1253.449951,1255.849976,1181.134888,289350
2019-05-08,1245.000000,1257.050049,1230.099976,1237.099976,1163.500000,770379
2019-05-09,1230.250000,1239.099976,1228.000000,1230.599976,1157.386841,436832
2019-05-10,1229.000000,1252.000000,1228.000000,1244.699951,1170.648071,659291
2019-05-13,1242.599976,1261.050049,1239.500000,1248.949951,1174.645142,484692
2019-05-14,1240.550049,1261.699951,1240.550049,1255.449951,1180.758301,274716
2019-05-15,1257.000000,1267.599976,1251.199951,1260.000000,1185.037720,397955
2019-05-16,1260.000000,1275.400024,1250.000000,1268.800049,1193.314331,363892
2019-05-17,1266.300049,1278.400024,1260.000000,1262.650024,1187.530029,192411
2019-05-20,1283.000000,1283.000000,1262.750000,1268.599976,1193.126343,159140
2019-05-21,1268.000000,1302.000000,1262.599976,1292.349976,1215.463257,677452
2019-05-22,1290.000000,1295.500000,1271.400024,1284.000000,1207.609985,348272
2019-05-23,1282.050049,1296.650024,1276.650024,1281.750000,1205.493652,250947
2019-05-24,1282.000000,1283.000000,1263.849976,1268.099976,1192.656006,542944
2019-05-27,1267.500000,1282.099976,1262.599976,1276.500000,1200.556274,312272
2019-05-28,1277.099976,1281.400024,1266.000000,1267.500000,1192.091553,656555
2019-05-29,1265.000000,1292.349976,1265.000000,1285.050049,1208.597534,1029439
2019-05-30,1290.949951,1315.000000,1285.000000,1308.199951,1230.370117,893273
2019-05-31,1316.900024,1316.900024,1301.250000,1306.699951,1228.959229,380453
2019-06-03,1311.550049,1316.150024,1302.300049,1311.550049,1233.520752,195008
2019-06-04,1308.000000,1314.949951,1300.500000,1305.699951,1228.018799,241167
2019-06-06,1304.750000,1321.500000,1296.349976,1312.099976,1234.037964,489536
2019-06-07,1310.199951,1332.500000,1310.199951,1322.400024,1243.725342,439082
2019-06-10,1323.949951,1348.949951,1323.000000,1336.650024,1257.127563,793989
2019-06-11,1348.000000,1350.949951,1334.449951,1340.650024,1260.889648,296894
2019-06-12,1335.000000,1353.150024,1335.000000,1340.400024,1260.654663,322799
2019-06-13,1341.000000,1342.650024,1330.099976,1340.099976,1260.372070,181685
2019-06-14,1335.000000,1341.949951,1317.099976,1320.000000,1241.468018,491274
2019-06-17,1317.250000,1326.949951,1316.000000,1318.250000,1239.822266,81116
2019-06-18,1314.050049,1328.199951,1314.050049,1322.699951,1244.007446,103174
2019-06-19,1320.099976,1327.750000,1299.500000,1303.250000,1225.714844,569699
2019-06-20,1296.199951,1314.000000,1293.849976,1310.199951,1232.251099,178193
2019-06-21,1308.900024,1314.349976,1302.000000,1307.900024,1230.088013,480719
2019-06-24,1306.800049,1325.050049,1305.349976,1319.800049,1241.280029,311406
2019-06-25,1320.250000,1342.400024,1313.000000,1340.699951,1260.936523,551286
2019-06-26,1344.000000,1344.000000,1321.000000,1332.250000,1252.989380,339597
2019-06-27,1324.099976,1342.000000,1320.199951,1335.849976,1256.375244,303104
2019-06-28,1341.900024,1349.900024,1332.699951,1345.099976,1265.074951,714198
2019-07-01,1345.000000,1355.000000,1335.000000,1350.699951,1270.341553,257346
